Город,Штат,Округ,Индекс,Телефонный код,Часовой пояс,Широта,Долгота
65th Infantry,PR,San Juan,923,787,EST+1,18.4125,-66.0374
Aaronsburg,PA,Centre,16820,814,EST,40.8639,-77.3918
Abbeville,GA,Wilcox,31001,229,EST,31.9896,-83.3111
Abbeville,MS,Lafayette,38601,662,CST,34.4719,-89.5985
Abbeville,AL,Henry,36310,334,CST,31.555,-85.2655
Abbeville,SC,Abbeville,29620,864,EST,34.1779,-82.3799
Abbeville,LA,Vermilion,70510,337,CST,29.9048,-92.1335
Abbeville,LA,Vermilion,70511,337,CST,29.9663,-92.1297
Abbot Village,ME,Piscataquis,4406,207,EST,45.3071,-69.556
Abbotsford,WI,Clark,54405,715,CST,44.9483,-90.3238
Abbott,TX,Hill,76621,254,CST,31.9001,-97.0742
Abbottstown,PA,Adams,17301,717,EST,39.8882,-76.9938
Abbyville,KS,Reno,67510,620,CST,38.0063,-98.2057
Abell,MD,Saint Mary's,20606,301,EST,38.2522,-76.7378
Abercrombie,ND,Richland,58001,701,CST,46.4176,-96.7122
Aberdeen,MD,Harford,21001,410,EST,39.5109,-76.1855
Aberdeen,NC,Moore,28315,910,EST,35.1453,-79.4249
Aberdeen,MS,Monroe,39730,662,CST,33.84,-88.5301
Aberdeen,KY,Butler,42201,270,CST,37.2539,-86.6817
Aberdeen,OH,Brown,45101,937,EST,38.6771,-83.7515
Aberdeen,SD,Brown,57401,605,CST,45.4648,-98.4905
Aberdeen,SD,Brown,57402,605,CST,45.4954,-98.4946
Aberdeen,ID,Bingham,83210,208,MST,43.0125,-112.829
Aberdeen,WA,Grays Harbor,98520,360,PST,47.0434,-123.763
Aberdeen Proving Ground,MD,Harford,21005,410,EST,39.4554,-76.1491
Abernant,AL,Tuscaloosa,35440,205,CST,33.2903,-87.1981
Abernathy,TX,Hale,79311,806,CST,33.9252,-101.91
Abie,NE,Butler,68001,402,CST,41.345,-96.9617
Abilene,KS,Dickinson,67410,785,CST,38.9422,-97.2126
Abilene,TX,Taylor,79601,915,CST,32.479,-99.7
Abilene,TX,Taylor,79602,915,CST,32.4295,-99.7221
Abilene,TX,Taylor,79603,915,CST,32.4688,-99.7647
